Time,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time (ms),Total Average Response Time (ms),Total Min Response Time (ms),Total Max Response Time (ms),Total Average Content Size,%CPU,%MEM,%Failure
18:27:24,192,,Aggregated,69.3,0.0,5.0,6.0,7.0,8.0,10.0,13.0,17.0,20.0,33.0,38.0,38.0,3747,0,5.0,6.055542515886222,3.145236005366314,38.08064000622835,16053.000800640511,9.0,0.1,0.0
18:27:25,194,,Aggregated,71.7,0.0,5.0,6.0,7.0,8.0,10.0,13.0,17.0,20.0,33.0,38.0,38.0,3820,0,5.0,6.068508797382716,3.145236005366314,38.08064000622835,16033.627486910997,9.1,0.1,0.0
18:27:26,196,,Aggregated,72.3,0.0,5.0,6.0,7.0,8.0,10.0,13.0,17.0,20.0,33.0,38.0,38.0,3894,0,5.0,6.0791875842219385,3.145236005366314,38.08064000622835,16038.515151515152,9.2,0.1,0.0
18:27:27,198,,Aggregated,71.9,0.0,5.0,6.0,7.0,8.0,10.0,13.0,17.0,20.0,33.0,38.0,38.0,3980,0,5.0,6.100358928133071,3.145236005366314,38.08064000622835,15995.658040201006,9.3,0.1,0.0
18:27:28,200,,Aggregated,70.9,0.0,5.0,6.0,7.0,8.0,11.0,13.0,18.0,22.0,33.0,38.0,38.0,4067,0,5.0,6.169456951309509,3.145236005366314,38.08064000622835,15950.755593803786,9.5,0.1,0.0
18:27:29,202,,Aggregated,72.8,0.0,5.0,6.0,7.0,8.0,11.0,13.0,17.0,21.0,33.0,38.0,38.0,4131,0,5.0,6.15343898884676,3.145236005366314,38.08064000622835,15925.213265553137,9.5,0.1,0.0
18:27:30,204,,Aggregated,74.5,0.0,5.0,6.0,7.0,8.0,11.0,13.0,18.0,21.0,33.0,38.0,38.0,4212,0,5.0,6.173253437070213,3.145236005366314,38.08064000622835,15905.584520417851,9.7,0.1,0.0
18:27:31,206,,Aggregated,75.7,0.0,5.0,6.0,7.0,8.0,11.0,13.0,17.0,21.0,33.0,38.0,38.0,4288,0,5.0,6.153623341163832,3.145236005366314,38.08064000622835,15913.543376865671,9.7,0.1,0.0
18:27:32,208,,Aggregated,75.2,0.0,5.0,6.0,7.0,8.0,11.0,13.0,18.0,22.0,33.0,38.0,38.0,4371,0,5.0,6.200937945072843,3.145236005366314,38.08064000622835,15871.160146419585,9.9,0.1,0.0
18:27:33,210,,Aggregated,75.6,0.0,5.0,6.0,7.0,8.0,11.0,13.0,18.0,21.0,33.0,38.0,38.0,4454,0,5.0,6.202342073630451,3.145236005366314,38.08064000622835,15870.746070947464,10.0,0.1,0.0
18:27:34,212,,Aggregated,77.0,0.0,5.0,6.0,7.0,8.0,11.0,13.0,18.0,22.0,33.0,38.0,38.0,4538,0,5.0,6.241431960329667,3.145236005366314,38.08064000622835,15882.63133539004,10.1,0.1,0.0
18:27:35,214,,Aggregated,76.9,0.0,5.0,6.0,7.0,8.0,11.0,13.0,18.0,21.0,33.0,38.0,38.0,4628,0,5.0,6.233032200512547,3.145236005366314,38.08064000622835,15842.955704407952,10.3,0.1,0.0
18:27:36,216,,Aggregated,77.6,0.0,5.0,6.0,7.0,8.0,11.0,13.0,18.0,21.0,33.0,38.0,38.0,4706,0,5.0,6.2400126213330935,3.145236005366314,38.08064000622835,15859.715894602636,10.4,0.1,0.0
18:27:37,218,,Aggregated,78.9,0.0,5.0,6.0,7.0,8.0,11.0,13.0,18.0,21.0,33.0,38.0,38.0,4790,0,5.0,6.237472102713396,3.145236005366314,38.08064000622835,15848.95198329854,10.5,0.1,0.0
18:27:38,220,,Aggregated,80.4,0.0,5.0,6.0,7.0,8.0,11.0,13.0,18.0,22.0,33.0,38.0,38.0,4881,0,5.0,6.254298077641082,3.145236005366314,38.08064000622835,15874.863552550709,10.6,0.1,0.0
